id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
269,[U:1:115334142],Thaigrr,45,6,18,9761,1,1,100.00,396.52
270,[U:1:132818658],Wargasm,12,5,13,4001,0,1,0.00,244.71
271,[U:1:114633416],denkra,58,28,48,18451,2,3,66.67,272.47
272,[U:1:95763546],Miju,8,12,10,4269,1,1,100.00,226.67
273,[U:1:1079321740],wyser,57,39,41,22073,0,4,0.00,250.97
274,[U:1:298952919],bobben,25,10,28,7906,0,1,0.00,275.15
275,[U:1:71713376],Ignis,22,10,16,5894,0,1,0.00,341.02
276,[U:1:101654928],simple,18,10,30,5643,1,1,100.00,207.72
277,[U:1:154482075],Hoffaern,9,5,12,2961,0,1,0.00,214.82
278,[U:1:210154445],barni,18,14,16,6677,1,1,100.00,340.37
279,[U:1:1028703238],LeLopom,66,40,46,24057,2,3,66.67,291.13
280,[U:1:63123057],tobi ^︿^,4,5,19,3338,0,1,0.00,155.50
281,[U:1:250216552],nik,33,29,45,11925,2,2,100.00,235.05
282,[U:1:127196451],tiram,22,9,11,6901,1,1,100.00,319.00
283,[U:1:70120143],bitebo,17,17,49,8214,1,3,33.33,148.49
284,[U:1:380355162],Ross,30,22,24,9967,0,1,0.00,348.70
285,[U:1:350242480],TK_,47,22,20,15472,0,1,0.00,481.99
286,[U:1:382304800],Jared,23,19,17,6840,0,1,0.00,251.78
287,[U:1:328592166],Doge,61,20,41,17192,3,3,100.00,310.42
288,[U:1:282434474],seri,66,41,52,20678,1,3,33.33,318.78
289,[U:1:204510198],kejhalb,38,19,21,12613,0,1,0.00,359.00
290,[U:1:128392518],SwaMp,11,12,10,4532,1,1,100.00,285.33
291,[U:1:192258775],leonksyy_,16,6,16,4268,0,1,0.00,216.10
292,[U:1:87608600],Manus,11,6,11,3034,1,1,100.00,203.62
293,[U:1:98361494],Hampe,41,24,58,16758,0,4,0.00,257.09
294,[U:1:146390399],Vouri,50,23,44,15071,1,2,50.00,283.91
295,[U:1:103246966],Kaponei,50,17,48,16148,1,2,50.00,309.25
296,[U:1:193923480],kanon,45,23,38,16272,0,2,0.00,346.21
297,[U:1:85677291],Samus,26,22,37,10352,1,2,50.00,242.15
298,[U:1:152973308],tikkeh,21,12,25,8011,1,2,50.00,232.43
