id,steamid,etf2l_name,overall_kills,overall_assists,overall_deaths,overall_dmg,overall_wins,matches_played,win_rate,dapm
48,[U:1:129880729],Lilliputt,3764,3138,4499,1392075,159,324,49.07,191.11
49,[U:1:315471756],Freedie,96,91,145,42054,3,9,33.33,195.87
50,[U:1:101982160],auto,70,52,98,28655,0,6,0.00,223.78
51,[U:1:159105955],sup3rfr3ddy,289,291,276,125228,14,30,46.67,191.56
52,[U:1:285837700],Depruu,16,19,14,6390,1,1,100.00,200.94
53,[U:1:161960689],Borat,6,7,8,1818,0,1,0.00,132.54
54,[U:1:111667300],menex,696,467,449,252318,24,47,51.06,241.09
55,[U:1:275066432],Elysioner,381,340,286,156317,17,33,51.52,241.28
56,[U:1:204540949],lit,41,26,36,13597,1,3,33.33,228.78
57,[U:1:192765534],Agen,183,186,139,72935,8,14,57.14,204.83
58,[U:1:289282302],buma,22,10,18,7930,2,2,100.00,184.70
59,[U:1:94628609],GardenFungus,94,82,103,42410,4,11,36.36,198.32
60,[U:1:84500845],haunts,2,5,18,2206,0,1,0.00,112.65
61,[U:1:231206798],Fancy,5,4,7,2033,0,1,0.00,145.91
62,[U:1:373861057],Arentrir,13,8,11,4076,1,2,50.00,147.77
63,[U:1:183215788],Fabeure,247,327,432,117782,12,26,46.15,182.96
64,[U:1:288301632],Wattseyy,37,42,77,20391,1,3,33.33,240.22
65,[U:1:101810142],Arcades,869,706,716,337526,38,62,61.29,237.12
66,[U:1:131466829],Cookie_,44,62,36,23414,3,4,75.00,219.16
67,[U:1:115028932],bran,8,6,15,3909,1,1,100.00,187.78
68,[U:1:28467840],buddy,726,481,654,246861,27,47,57.45,248.98
69,[U:1:422483765],P1nball,169,161,217,59863,7,11,63.64,195.51
70,[U:1:32393766],Sacrilege,37,49,78,20338,1,5,20.00,188.72
71,[U:1:41152020],Der_Milchmann,46,54,60,19705,4,4,100.00,233.24
72,[U:1:163231154],keicam,2361,1844,1650,902560,90,161,55.90,245.77
73,[U:1:103548491],[☁]Emiel,187,148,240,69503,9,16,56.25,199.12
74,[U:1:84055738],Dejvi,294,254,386,107513,12,24,50.00,210.63
75,[U:1:112621228],lardox,31,17,45,9342,0,2,0.00,220.85
76,[U:1:162973073],wiitabix,53,49,56,20919,3,5,60.00,218.02
77,[U:1:60508241],CoCoBaer,53,59,72,24364,3,4,75.00,245.85
78,[U:1:437627128],Dosik,4,2,9,1783,1,1,100.00,97.88
79,[U:1:96748980],Kwq,10,10,8,4437,1,1,100.00,239.19
80,[U:1:100967616],$neaky,63,45,60,22928,2,3,66.67,270.01
81,[U:1:173395134],ollie,66,37,81,24384,2,3,66.67,272.14
82,[U:1:1102552676],ethereal,4,3,7,1777,0,1,0.00,107.70
83,[U:1:416877169],Raccoon,78,75,99,30155,3,7,42.86,175.63
84,[U:1:487784807],Houf,22,15,32,6192,1,2,50.00,132.21
85,[U:1:838538117],African Communist,103,94,98,44195,5,9,55.56,215.17
86,[U:1:237340554],Akio,507,388,396,187770,20,36,55.56,229.90
87,[U:1:31964550],Tercio,39,20,19,14883,2,2,100.00,302.40
88,[U:1:10247471],HartzFartz,85,84,111,38503,6,11,54.55,199.81
89,[U:1:3435379],Leila,4,7,15,2584,0,1,0.00,132.85
90,[U:1:119182029],WilliamWanderlust,929,896,979,353916,46,84,54.76,200.27
91,[U:1:117490478],Brian,146,114,108,48393,3,10,30.00,233.73
92,[U:1:168887301],.xio,76,56,67,27067,3,6,50.00,195.45
93,[U:1:186812575],Un4given,26,18,33,10383,2,2,100.00,216.61
94,[U:1:1045325347],Mase,347,361,375,139226,17,30,56.67,202.92
95,[U:1:102629081],Demos,9,14,13,4089,1,1,100.00,206.17
96,[U:1:170162153],Gaul Soodman,91,79,81,31382,5,7,71.43,174.12
97,[U:1:166329375],Weazel,91,108,160,39386,7,10,70.00,183.95
98,[U:1:106711772],namba,461,359,454,168108,15,34,44.12,218.25
99,[U:1:434548833],Pr1me,98,89,105,35719,4,7,57.14,193.67
100,[U:1:143474481],ruadhr1,5,6,9,2514,0,1,0.00,237.54
101,[U:1:424423660],Guz,66,35,66,22699,3,5,60.00,212.01
102,[U:1:236587882],frost,546,498,578,211433,18,42,42.86,214.79
103,[U:1:136305209],Buud,60,51,68,22339,3,6,50.00,188.78
104,[U:1:170965550],Yui,14,11,17,6894,0,1,0.00,258.20
105,[U:1:194687031],Exe_Red,55,48,61,26083,2,3,66.67,284.13
106,[U:1:74689694],tua,77,61,75,28532,4,6,66.67,195.14
107,[U:1:54226197],swir,196,195,263,76737,5,20,25.00,176.33
108,[U:1:162632057],asura,16,11,8,6668,1,1,100.00,265.83
109,[U:1:242176874],tom,10,15,15,4183,0,1,0.00,170.50
110,[U:1:1247279463],Tywhip,152,143,166,64866,5,13,38.46,217.68
